Company_name,Description
Fortis Healthcare,Healthcare 
BlackBuck,Internet 
Societe Generale,Financial Services 
Fiserv,FinTech 
Britannia,FMCG 
TVS Supply Chain Solutions,Logistics 
KFintech,FinTech 
Micro Labs,Pharma 
Voltas,Consumer Electronics & Appliances 
Sterlite Technologies,Hardware & Networking 
Exide Industries,Auto Components 
Shree Cement,Building Material 
Ola Cabs,Internet 
Kyndryl,IT Services & Consulting 
Yazaki,Auto Components 
Radisson Hotels,Hospitality 
Himalaya Wellness,Pharma 
Dalmia Bharat Cement,Building Material 
Quest Global,IT Services & Consulting 
Lifestyle,Retail 
IKS Health,Healthcare 
Ajanta Pharma,Pharma 
Eureka Forbes,Consumer Electronics & Appliances 
ACT Fibernet,Telecom 
Extramarks Education,EdTech 
Aditya Birla Group,Building Material 
Blue Star,Consumer Electronics & Appliances 
XpressBees,Logistics 
Nokia Networks,Hardware & Networking 
Mahindra Rural Housing Finance,NBFC 
DS Group,FMCG 
Sonalika Tractors,Automobile 
Cholamandalam MS General Insurance,Insurance 
Motilal Oswal Financial Services,Financial Services 
Life Insurance Corporation of India,Insurance 
Future Retail,Retail 
Zomato,Internet 
Delhi Public School,Education & Training 
JMC Projects,Engineering & Construction 
Mahindra Logistics,Logistics 
Rivigo,Internet 
Indus Towers,Telecom 
PVR Cinemas,Media & Entertainment 
Ninjacart,Internet 
Parle Agro,Beverage 
Myntra,Internet 
SRF,Chemicals 
V-Mart,Retail 
Emcure Pharmaceuticals,Pharma 
Kalpataru Power Transmission,Engineering & Construction 
Datamatics Global Services,IT Services & Consulting 
Movate,IT Services & Consulting 
Pfizer,Pharma 
Renault-Nissan,Automobile 
Kansai Nerolac Paints,Chemicals 
Tata Teleservices,Telecom 
Fujitsu,IT Services & Consulting 
Mahindra Holidays & Resorts,Hospitality 
Indian Railways,Railways 
Raymond,Fashion & Textile 
BHEL,Electrical Equipment 
VVDN Technologies,IT Services & Consulting 
MSN Laboratories,Pharma 
Reliance Trends,Retail 
KPMG Global Services,Bangalore / Bengaluru +29 more
3i Infotech,IT Services & Consulting 
ICICI Securities,Financial Services 
Blinkit,Internet 
Cybage,IT Services & Consulting 
Ambuja Cements,Building Material 
JCB,Industrial Machinery 
Cadila Pharmaceuticals,Pharma 
Info Edge,Internet 
GlaxoSmithKline Pharmaceuticals,Pharma 
Shell,Oil & Gas 
suzuki motor gujarat,Fortune India 500 
Poonawalla Fincorp,NBFC 
ZS,Management Consulting 
Foundever,BPO 
Whirlpool,Consumer Electronics & Appliances 
Endurance Technologies,Auto Components 
Force Motors,Automobile 
Bharat Petroleum,Oil & Gas 
Tata Elxsi,IT Services & Consulting 
Jindal Stainless,Iron & Steel 
GVK Emergency Management and Research Institute,Non-Profit 
NoBroker,Internet 
Syngene International,Pharma 
Kalyan Jewellers,Jewellery 
Fincare Small Finance Bank,Banking 
ITC Hotels,Hospitality 
PhonePe,FinTech 
Shahi Exports,Retail 
Bharti AXA Life Insurance,Insurance 
Delphi TVS,Auto Components 
HCL Infosystems,IT Services & Consulting 
Dhani Loans and Services,NBFC 
Sobha,Real Estate 
Care Health Insurance,Internet 
Brakes India,Auto Components 
Sterling & Wilson,Engineering & Construction 
Lodha group,Real Estate 
Aavas Financiers,Financial Services 
Bureau Veritas,Other 
Citicorp,Financial Services 
CAMS,IT Services & Consulting 
Kent RO Systems,Consumer Electronics & Appliances 
Gallagher,Insurance 
Varroc Group,Auto Components 
Unacademy,EdTech 
Future Generali India Life Insurance,Insurance 
Allsec Technologies,BPO 
Canara HSBC Life Insurance,Insurance 
Sopra Steria,IT Services & Consulting 
Coromandel International,Agro Chemicals 
Tata Motors Finance,NBFC 
café Coffee day,Hospitality 
Cisco,Hardware & Networking 
Gabriel India,Auto Components 
Power Mech Projects,Engineering & Construction 
RMSI,IT Services & Consulting 
JK Tyres,Auto Components 
Adani Wilmar,FMCG 
Star Health & Allied Insurance,Insurance 
IntouchCX,BPO 
DBS Bank,Banking 
KIA MOTORS,Automobile 
Lucas-TVS,Auto Components 
Straive,Analytics & KPO 
Bank of Baroda,Banking 
Sify Technologies,IT Services & Consulting 
Planet Spark,EdTech 
ValueLabs,IT Services & Consulting 
Laurus Labs,Pharma 
Hero FinCorp,NBFC 
Parle Products,Food Processing 
Hindustan Aeronautics,Defence & Aerospace 
Indian Navy,Defence & Aerospace 
Taurus BPO Services,BPO 
ABC,Broadcasting 
UpGrad,EdTech 
Thomson Reuters,Legal 
ESAF Microfinance & Investments (P),Financial Services 
Uflex,Packaging 
Adani Power,Power 
SAP,Software Product 
AECOM,Engineering & Construction 
TVS Sundram Fasteners,Auto Components 
Cargill,Food Processing 
Citibank,Banking 
CMA CGM,Ports & Shipping 
SGS,1k-5k Employees 
Akums Drugs & Pharmaceuticals,Pharma 
Dr Lal PathLabs,Healthcare 
Intellect Design Arena,FinTech 
Honda,Automobile 
IDBI Bank,Banking 
Renault Nissan Technology & Business Centre India,IT Services & Consulting 
Google,Internet 
Reliance General Insurance,Insurance 
Novartis,Pharma 
Microsoft Corporation,Software Product 
TCE,Engineering & Construction 
Kotak Securities,Financial Services 
L&T Energy Hydrocarbon,Engineering & Construction 
Big Bazaar,Retail 
Narayana Health,Healthcare 
Xoriant,IT Services & Consulting 
BA Continuum,NBFC 
AXA Business Services,Insurance 
Meesho,Internet 
Spark Minda,Auto Components 
Wockhardt,Pharma 
Honeywell Automation,Consumer Electronics & Appliances 
SBI General Insurance,Insurance 
Optum Global Solutions,IT Services & Consulting 
YASH Technologies,IT Services & Consulting 
Vedantu,EdTech 
CMS Infosystems,IT Services & Consulting 
Philips,Consumer Electronics & Appliances 
MetLife,Insurance 
Vardhman Fabrics,Fashion & Textile 
Tata Play,Broadcasting 
NCR Corporation,IT Services & Consulting 
Aragen Life Sciences,Pharma 
Biological E,Biotechnology 
Niva Bupa Health Insurance Company,Insurance 
Apollo Pharmacy,Pharma 
G R Infraprojects,Engineering & Construction 
Crisil,Financial Services 
Safexpress,Logistics 
Microland,IT Services & Consulting 
Innovsource Services,Recruitment 
Exl India,IT Services & Consulting 
PHN Technology,Pune +30 more
Amazon Transportation Services,Logistics 
Frankfinn Institute of Air Hostess Training,Education & Training 
Panasonic Life Solutions,Electrical Equipment 
Allstate,Insurance 
SS&C TECHNOLOGIES,IT Services & Consulting 
Metro Cash & Carry,Retail 
R.R. Donnelley,Marketing & Advertising 
Angel One,Financial Services 
SBI Securities,Financial Services 
Bhushan Power & Steel,Iron & Steel 
Reckitt Benckiser,FMCG 
CitiusTech,IT Services & Consulting 
Matrimony.com,Internet 
XL Dynamics,IT Services & Consulting 
Bharat Financial Inclusion,NBFC 
Motherson Automotive Technologies and Engineering,Auto Components 
USV,Pharma 
Procter & Gamble,FMCG 
Yamaha Motor,Automobile 
HERE Technologies,IT Services & Consulting 
Adecco Group,Recruitment 
Dainik Bhaskar Group Of Publication,Printing & Publishing 
Cavinkare,FMCG 
Aditya Birla Capital,Financial Services 
USHA International,Consumer Electronics & Appliances 
Mercedes-Benz Research & Development India,IT Services & Consulting 
Team Computers,IT Services & Consulting 
KONE,Industrial Machinery 
Isgec Heavy Engineering,Industrial Machinery 
NTPC,10k-50k Employees 
DHL Supply Chain,Logistics 
Honeywell Technology Solutions,Defence & Aerospace 
Torrent Power,Power 
PI Industries,Agro Chemicals 
Sigma Electric Manufacturing Corporation,Industrial Machinery 
Oberoi Group of Hotels,Hospitality 
Mother Dairy Fruit & Vegetable,Food Processing 
Chegg,EdTech 
DIVI'S Laboratories,Healthcare 
Honda Cars,Automobile 
Johnson & Johnson,Pharma 
Haier Appliances India,Consumer Electronics & Appliances 
Hyatt Regency,Hospitality 
Credit Suisse,Financial Services 
Arvind Group,Fashion & Textile 
Max Fashion,Retail 
Verizon,Telecom 
Saint-Gobain,Building Material 
Tata Communications Transformation Services,Hardware & Networking 
Jindal Saw,Building Material 
Star Union Dai-ichi Life Insurance,Insurance 
V-Guard Industries,Consumer Electronics & Appliances 
Medi Assist India,Insurance 
Paisabazaar.com,Internet 
Exela Technologies,IT Services & Consulting 
DHL Express,Logistics 
CG Power and Industrial Solutions,Electrical Equipment 
Daikin,Consumer Electronics & Appliances 
HDFC Securities,Financial Services 
Tata Group,IT Services & Consulting 
Piramal Group,Financial Services 
FactSet,Financial Services 
Globiva,BPO 
Medanta the Medicity,Healthcare 
Aadhar Housing Finance,Financial Services 
UBS,Investment Banking / Venture Capital / Private Equity 
Orange Business,IT Services & Consulting 
Haldiram Foods,FMCG 
Nuvoco Vistas,Building Material 
Hindustan Petroleum,Oil & Gas 
Relaxo Footwear,Fashion & Textile 
First American Corporation,IT Services & Consulting 
FirstCry,Retail 
Morgan Stanley,Financial Services 
Aforeserve,IT Services & Consulting 
Biocon Biologics,Biotechnology 
Oracle Cerner,IT Services & Consulting 
BNP Paribas,Financial Services 
Aon,Financial Services 
Belrise Industries,Auto Components 
Emami,Beauty & Personal Care 
Photon Interactive,IT Services & Consulting 
IDC Technologies,IT Services & Consulting 
Exotic Learning,EdTech 
Security and Intelligence Services (India),Law Enforcement & Security 
Bata,Fashion & Textile 
Dell EMC,IT Services & Consulting 
Hindustan Construction Company,Engineering & Construction 
Toyota Kirloskar Motor,Automobile 
Fusion BPO Services,BPO 
Marriott International,Hospitality 
Tesco,Retail 
Narayana Educational Society,Education & Training 
Faurecia,Auto Components 
KFC,Hospitality 
FedEx Express,Logistics 
Mercer,Management Consulting 
Trent,Retail 
Trident Group,Fashion & Textile 
Iris Software,IT Services & Consulting 
Veritas Finance,NBFC 
TATA Power,Power 
L.G.Balakrishnan & Bros,Auto Components 
Marico,FMCG 
Jet Airways,Aviation 
HTC Global Services,IT Services & Consulting 
Altruist Technologies,BPO 
iOPEX Technologies,IT Services & Consulting 
NIIT,Education & Training 
Ola Electric Mobility,Automobile 
Tata Advanced Systems,Defence & Aerospace 
Suguna Foods,Food Processing 
Muthoot Group,Financial Services 
Sony,Consumer Electronics & Appliances 
Infinite Computer Solutions,IT Services & Consulting 
Polycab Wires,Electrical Equipment 
Hero Motors Company,Automobile 
Bajaj Capital,Financial Services 
TaskUs,BPO 
Krishna Maruti,Auto Components 
Inox Leisure,Media & Entertainment 
Welspun,Fashion & Textile 
Oracle Financial Services Software,IT Services & Consulting 
SRL Diagnostics,Healthcare 
Pantaloons,Fashion & Textile 
Manipal Hospitals,Healthcare 
Satin Creditcare Network,NBFC 
Nayara Energy,Petrochemicals 
ISS Facility Services,Facility Management Services 
ZF Commercial Vehicle Control Systems,Auto Components 
Akzo Nobel India,Chemicals 
Fabindia,Fashion & Textile 
Barclays Shared Services,IT Services & Consulting 
TTEC India,BPO 
J. Kumar Infraprojects,Engineering & Construction 
Cushman & Wakefield,Real Estate 
Collabera Technologies,IT Services & Consulting 
Daimler India Commercial Vehicles,Automobile 
Gland Pharma,Pharma 
VLCC,Beauty & Personal Care 
Panasonic,Consumer Electronics & Appliances 
ICICI Home Finance,NBFC 
Biocon Limited,Biotechnology 
Redcliffe Labs,Healthcare 
Supreme Industries,Petrochemicals 
Asahi India Glass,Auto Components 
Ashoka Buildcon,Engineering & Construction 
Adani Group,Power 
Jindal X,BPO 
Sysnet Global Technologies,IT Services & Consulting 
ITD Cementation India,Engineering & Construction 
Shadowfax Technologies,Logistics 
TCS iON,IT Services & Consulting 
JioMart,51-200 Employees 
Granules India,Pharma 
Aye Finance,NBFC 
Annapurna Finance,NBFC 
Ocwen Financial Solutions,Financial Services 
NeoSOFT,IT Services & Consulting 
Godrej Group,Chemicals 
Adani Ports and SEZ,Ports & Shipping 
MiraMed Ajuba,BPO 
Aptara,Printing & Publishing 
Sanofi,Pharma 
Heritage Foods,Food Processing 
GMR Group,Engineering & Construction 
Compass Group Support Services,Hospitality 
Canara Bank,Banking 
Bharat Forge,Iron & Steel 
Chandigarh University,Education & Training 
Caterpillar Inc,Industrial Machinery 
GE,Defence & Aerospace 
EPAM Systems,IT Services & Consulting 
Unisys,IT Services & Consulting 
Spicejet,Aviation 
Broadridge Financial Solutions,FinTech 
HighRadius,FinTech 
NSE.IT,IT Services & Consulting 
Bharat FIH,Electronics Manufacturing 
Edelweiss,Financial Services 
Vfs Global Services,BPO 
GE Vernova,Noida +69 more
Sharekhan,Financial Services 
AB InBev India,Beverage 
Xiaomi,Consumer Electronics & Appliances 
Lumax Industries,Auto Components 
Evalueserve,IT Services & Consulting 
Spinny,Financial Services 
Steel Strips Wheels,Auto Components 
Amity University,Education & Training 
Pine Labs,FinTech 
Bisleri,Beverage 
Aircel,Telecom 
Cinépolis,Media & Entertainment 
IFB,Consumer Electronics & Appliances 
Unichem Laboratories,Pharma 
Synchrony,Financial Services 
Iffco Tokio General Insurance Co.,Insurance 
Indoco Remedies,Pharma 
CorroHealth,1k-5k Employees 
Tanishq,Jewellery 
Newgen Software Technologies,IT Services & Consulting 
Iksula,IT Services & Consulting 
NEC,IT Services & Consulting 
Jakson Group,Power 
Punjab National Bank,Banking 
Northern Trust Operating Services,Financial Services 
SYSKA LED Lights,Consumer Electronics & Appliances 
Fino Payments Bank,Banking 
Sagility,BPO 
Saipem,Engineering & Construction 
Physicswallah,EdTech 
LivSpace,Architecture & Interior Design 
FDC,Pharma 
Health Care Global Enterprises,Healthcare 
Valeo,Auto Components 
Tietoevry,IT Services & Consulting 
Devyani International,Hospitality 
ECIL,Electronics Manufacturing 
Best Sellers,Fashion & Textile 
VMware Software,Software Product 
BVG India,Facility Management Services 
Aditya Birla Health Insurance Co,Insurance 
SKF,Auto Components 
Goldman Sachs,Investment Banking / Venture Capital / Private Equity 
Suryoday Small Finance Bank,Banking 
DISH TV,Broadcasting 
AGS Transact Technologies,FinTech 
Fidelity National Financial,Financial Services 
Wheelseye Technology,Internet 
Paytm Payments Bank,FinTech 
Burger King,Hospitality 
Oil And Natural Gas Corporation,Oil & Gas 
ManpowerGroup,Recruitment 
DENSO,Auto Components 
Foxconn,Electronics Manufacturing 
Clover Infotech,IT Services & Consulting 
Xyz Company,Financial Services 
SAI Life Sciences,Pharma 
Sansera Engineering,Auto Components 
Apco Infratech,Engineering & Construction 
Shriram Pistons & Rings,Auto Components 
Altisource,Real Estate 
Nexa,Automobile 
Vestas,Power 
The Jaypee Group,Engineering & Construction 
Atul,Chemicals 
ANZ Banking Group,Financial Services 
Amneal Pharmaceuticals,Pharma 
Tata 1mg,Internet 
Gujarat Fluorochemicals,Chemicals 
QualityKiosk Technologies,IT Services & Consulting 
Fresenius Kabi,Pharma 
Amara Raja Energy & Mobility,Auto Components 
Schindler,Industrial Machinery 
FOCUS EDUMATICS,EdTech 
Luminous Power Technologies,Consumer Electronics & Appliances 
Vibgyor High School,Education & Training 
Eureka Outsourcing Solutions,BPO 
Videocon d2h,Internet 
Dixon Technologies,Electronics Manufacturing 
Medhaj Techno Concept,Other 
iSON Xperiences,BPO 
Indegene,Analytics & KPO 
GAIL,Oil & Gas 
CreditAccess Grameen,NBFC 
Tata AutoComp Systems,Auto Components 
Wistron,Electronics Manufacturing 
K12 Techno Services,EdTech 
Consolidated Contractors,Engineering & Construction 
Tenneco,Auto Components 
Hitachi Astemo,Auto Components 
TELUS International Philippines,IT Services & Consulting 
Johnson Lifts,Industrial Machinery 
Continental Automotive Components,Auto Components 
Infogain,IT Services & Consulting 
Kantar,Analytics & KPO 
IndiaFirst Life Insurance,Insurance 
PharmEasy,Internet 
Sheenlac Paints,Chemicals 
Wind World,Power 
Eaton Corporation,Power 
Bajaj Motors,Auto Components 
Jio Platforms,IT Services & Consulting 
Piaggio,Automobile 
Infinx,Software Product 
Patanjali Foods,FMCG 
AIIMS,Healthcare 
Godrej Consumer Products,FMCG 
Bharat Sanchar Nigam,Telecom 
JW Marriott,Hospitality 
Godrej Properties,Real Estate 
Intertek,Other 
PNB Housing Finance,Financial Services 
Mahindra CIE Automotive,Auto Components 
Zf Rane Automotive,Auto Components 
Gannon Dunkerley & Co.,Engineering & Construction 
TUV SUD,Other 
CSB Bank,Banking 
Jaquar,Building Material 
Automotive Manufacturers,Automobile 
Karma Ayurveda,Healthcare 
TE Connectivity,Electronics Manufacturing 
Punj Lloyd,Engineering & Construction 
JSW Cement,Building Material 
Sahara India Pariwar,Broadcasting 
Spencer's Retail,Retail 
Adobe,Software Product 
Mondelez International,Food Processing 
Slk Software Services,IT Services & Consulting 
IIFL SAMASTA,NBFC 
Worley,Engineering & Construction 
Petrofac,Engineering & Construction 
Apexon,IT Services & Consulting 
Capri Global Capital,NBFC 
Dhoot Transmission,Power 
R Systems International,IT Services & Consulting 
Siemens Gamesa Renewable Energy,Power 
Morningstar,Financial Services 
Hinduja Leyland Finance,NBFC 
Serco,Analytics & KPO 
Tikona Infinet,Telecom 
Hatsun Agro Product,Food Processing 
Sonata Software,IT Services & Consulting 
Nielsen,Analytics & KPO 
NSH,Engineering & Construction 
Podar International School,Education & Training 
Thyrocare Technologies,Healthcare 
Viraj Profiles,Iron & Steel 
Coca-Cola Company,Beverage 
Shriram Life Insurance,Insurance 
Arvind Lifestyle Brands,Retail 
iQor Global Services,BPO 
Strides Pharma,Pharma 
HPCL-Mittal Energy Limited,Petrochemicals 
Urban Company,Internet 
Episource,IT Services & Consulting 
Decathlon,Retail 
Atos Global IT Solutions And Services,IT Services & Consulting 
FastInfo,EdTech 
RBL FinServe,Financial Services 
OpenText Technologies,Software Product 
Mando Automotive,Auto Components 
JK Lakshmi Cement,Building Material 
Sunknowledge Services,BPO 
Sri Chaitanya Educational Institutions,Education & Training 
Kirloskar Oil Engines,Industrial Machinery 
PNC Infratech,Engineering & Construction 
Shubham Housing Development Finance,NBFC 
Bajaj Housing Finance,NBFC 
Kendriya Vidyalaya Sangathan,Education & Training 
Airtel Payments Bank,FinTech 
Onward Technologies Inc,Software Product 
MDIndia Health Insurance TPA,Insurance 
Amazon Logistics,Logistics 
Parexel International,Healthcare 
iMerit,Software Product 
Jubilant Pharmova,Pharma 
Aarvee Associates,Engineering & Construction 
Altimetrik,IT Services & Consulting 
Volkswagen,Automobile 
BGR Energy Systems,Engineering & Construction 
V5 Global Services,Recruitment 
